NOME_IES	NOME_ESPECIALIZACAO	Area_Conhecimento	CARGA_HORARIA	DURACAO_MESES	MODALIDADE	VAGAS	MUNICIPIO	UF	REGIAO	SITUACAO	Categoria_IES
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS	POLÍTICAS E GESTÃO DA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA	Educação	420	18	Educação Presencial	30	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE	ANÁLISE E GESTÃO DE SISTEMAS DE INFORMAÇÃO	Computação e Tecnologias da Informação e Comunicação (TIC)	384	18	Educação Presencial	25	Campos dos Goytacazes	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Cirurgia Vascular	Saúde e bem-estar	720	24	Educação Presencial	2	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE	Educação Profissional Integrada à Educação Básica na Modalid	Educação	380	18	Educação Presencial	60	Estância	SE	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO	Análise e Desen. de Sistemas Aplicados à Gestão Empresarial	Computação e Tecnologias da Informação e Comunicação (TIC)	400	18	Educação Presencial	30	Uberlândia	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE PELOTAS	Gestão Estratégica de Negócios	Negócios, administração e direito	440	18	Educação Presencial	27	Pelotas	RS	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO	Novas Tecnologias Aplicadas à Educação	Computação e Tecnologias da Informação e Comunicação (TIC)	400	12	Educação Presencial	50	Ituiutaba	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SANTA MARIA	Geomática	Engenharia, produção e construção	420	18	Educação Presencial	12	Santa Maria	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Construindo a Inclusão em Educação	Educação	360	12	Educação Presencial	40	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE	GESTÃO, DESIGN E MARKETING	Negócios, administração e direito	360	18	Educação Presencial	30	Campos dos Goytacazes	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MBA em Gestão de Hospitais e Clínicas	Negócios, administração e direito	360	24	Educação Presencial	35	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE DE SÃO PAULO	Arte na Educação: Teoria e Prática	Artes e humanidades	400	24	Educação Presencial	60	São Paulo	SP	SUDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE SANTA MARIA	Educação Ambiental	Educação	375	18	Educação Presencial	25	Santa Maria	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE RORAIMA	Coordenação Pedagógica	Educação	405	16	Educação a Distância	100	Boa Vista	RR	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ	Gestão e Controle Ambiental	Engenharia, produção e construção	400	18	Educação Presencial	20	Limoeiro do Norte	CE	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE	Diversidade Vegetal	Computação e Tecnologias da Informação e Comunicação (TIC)	360	18	Educação Presencial	15	Rio Grande	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Direito Civil e Processual Civil	Negócios, administração e direito	520	20	Educação Presencial	50	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DE PONTA GROSSA	História, Arte e Cultura	Artes e humanidades	567	16	Educação a Distância	160	Ponta Grossa	PR	SUL	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE SÃO PAULO	Física em Radioterapia	Saúde e bem-estar	720	24	Educação Presencial	1	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE DE SÃO PAULO	Dependência Química	Saúde e bem-estar	402	13	Educação Presencial	167	São Paulo	SP	SUDESTE	Ativo	Pública Estadual
UNIVERSIDADE DO ESTADO DA BAHIA	Estudos Africanos e Representações da Africa	Artes e humanidades	465	18	Educação Presencial	30	Alagoinhas	BA	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Cirurgia e Traumatologia Buco-Maxilo-Facial	Saúde e bem-estar	900	30	Educação Presencial	8	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Construção Civil	Engenharia, produção e construção	360	24	Educação Presencial	80	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Dentística	Saúde e bem-estar	720	24	Educação Presencial	0	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA	CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM PSICOPEDAGOGIA	Educação	360	18	Educação a Distância	35	Boa Vista	RR	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA	EDUCAÇÃO PROFISSIONAL INTEGRADA À EDUCAÇÃO BÁSICA/PROEJA	Educação	400	18	Educação a Distância	150	Boa Vista	RR	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA	EDUC. PROFISSIONAL INTEGRADA À EDUC. BÁSICA/PROEJA E-TEC	Educação	400	18	Educação a Distância	200	Boa Vista	RR	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA	DOCÊNCIA NO ENSINO PROF. E TECNOLÓGICO/DESENV. SUSTENTÁVEL	Educação	421	18	Educação a Distância	150	Boa Vista	RR	NORTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI	Qualidade e Produtividade	Engenharia, produção e construção	360	36	Educação Presencial	26	Itajubá	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI	Proteção de Sistemas Elétricos	Engenharia, produção e construção	360	24	Educação Presencial	24	Itajubá	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Endocrinologia Pediátrica	Saúde e bem-estar	360	24	Educação Presencial	2	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Engenharia de Recursos Minerais	Engenharia, produção e construção	375	18	Educação Presencial	30	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE	Educação e Contemporaneidade	Educação	400	18	Educação Presencial	40	Mossoró	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Estomatologia	Saúde e bem-estar	615	18	Educação Presencial	0	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Farmacologia	Computação e Tecnologias da Informação e Comunicação (TIC)	360	18	Educação Presencial	35	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Fisioterapia	Saúde e bem-estar	420	18	Educação Presencial	150	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Formação de Educadores para a Educação Básica	Educação	480	18	Educação Presencial	281	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Gastroenterologia Pediátrica	Saúde e bem-estar	720	24	Educação Presencial	4	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Gestão de Informação e Pessoas	Negócios, administração e direito	360	18	Educação Presencial	35	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ	ENSINO DE MATEMÁTICA	Computação e Tecnologias da Informação e Comunicação (TIC)	390	18	Educação Presencial	40	Teresina	PI	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Prótese Dentária	Saúde e bem-estar	720	24	Educação Presencial	24	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Gestão Estratégica	Negócios, administração e direito	375	24	Educação Presencial	140	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MINAS GERAIS	Informática	Computação e Tecnologias da Informação e Comunicação (TIC)	390	24	Educação Presencial	140	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	EDUCAÇÃO DE JOVENS E ADULTOS E ECONOMIA SOLIDÁRIA	Educação	360	18	Educação Presencial	100	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	Culturas e Histórias dos Povos Indígenas	Ciências sociais, comunicação e informação	360	18	Educação a Distância	200	Campo Grande	MS	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	Formação de Profissionais da Educação	Educação	360	18	Educação Presencial	24	Dourados	MS	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Metodologia do Ensino de História e de Geografia	Educação	360	12	Educação Presencial	30	Jaguarão	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO	Lutas	Educação	360	18	Educação Presencial	50	Seropédica	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO PIAUÍ	Docência do Ensino Superior	Educação	450	18	Educação Presencial	100	Teresina	PI	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO	Pedagogia da Educação Física e do Esporte	Educação	390	18	Educação Presencial	25	Seropédica	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	AUDIOLOGIA	Negócios, administração e direito	360	24	Educação Presencial	26	Porto Alegre	RS	SUL	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Desenvolvimento de Regiões de Fronteira	Negócios, administração e direito	465	18	Educação Presencial	25	Santana do Livramento	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	CONTABILIDADE, AUDITORIA E FINANÇAS GOVERNAMENTAIS	Negócios, administração e direito	450	24	Educação Presencial	38	Porto Alegre	RS	SUL	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Imagem, História e Memória das Missões: Educação para o Patr	Artes e humanidades	420	16	Educação Presencial	40	São Borja	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DE LONDRINA	Gestão Industrial e Negócios	Negócios, administração e direito	360	12	Educação Presencial	40	Londrina	PR	SUL	Ativo	Pública Estadual
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Direitos humanos e Cidadania	Artes e humanidades	360	18	Educação Presencial	30	Jaguarão	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	Gestão em Saúde	Saúde e bem-estar	420	15	Educação a Distância	250	Campo Grande	MS	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	Educação Ambiental e Espaços Educadores Sustentáveis	Educação	360	15	Educação a Distância	200	Campo Grande	MS	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	Docência na Educação Infantil	Educação	450	12	Educação a Distância	450	Campo Grande	MS	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	Gestão em Saúde no Sistema Prisional	Saúde e bem-estar	420	22	Educação Presencial	800	Campo Grande	MS	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS NO CONTEXTO DA EJA	Educação	400	24	Educação Presencial	200	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	AUDITORIA E CONTROLADORIA EMPRESARIAL	Negócios, administração e direito	360	24	Educação Presencial	60	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Arquitetura de Nuvens	Negócios, administração e direito	420	19	Educação Presencial	40	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	NUTRIÇÃO CLÍNICA	Saúde e bem-estar	364	24	Educação Presencial	44	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Gestão e Auditoria Ambiental	Engenharia, produção e construção	390	18	Educação Presencial	33	Apucarana	PR	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS	HISTÓRIA, CULTURA AFRICANA E AFRO-BRASILEIRA	Educação	450	18	Educação a Distância	90	Manaus	AM	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS	PROEJA NA MODALIDADE EDUCAÇÃO ESCOLAR INDÍGENA	Educação	435	15	Educação a Distância	100	Manaus	AM	NORTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS	PROEJA NA MODALIDADE EDUCAÇÃO DO CAMPO	Educação	435	15	Educação a Distância	50	Manaus	AM	NORTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	INFORMÁTICA NA EDUCAÇÃO	Computação e Tecnologias da Informação e Comunicação (TIC)	360	24	Educação a Distância	280	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS	EDUCAÇÃO DE SURDOS: UMA PERSPECTIVA BILÍNGUE EM CONSTRUÇÃO	Educação	400	18	Educação Presencial	40	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	Educação Intercultural	Educação	405	18	Educação Presencial	60	Dourados	MS	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Processos agroindustriais	Agricultura, silvicultura, pesca e veterinária	375	15	Educação Presencial	20	Bagé	RS	SUL	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Educação Integral em região de Fronteira	Educação	360	12	Educação Presencial	50	Jaguarão	RS	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ	Especialização em Agroecologia	Agricultura, silvicultura, pesca e veterinária	390	18	Educação a Distância	84	Curitiba	PR	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	CONTROLADORIA	Negócios, administração e direito	390	24	Educação Presencial	49	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	ADMINISTRAÇÃO PÚBLICA CONTEMPORÂNEA	Negócios, administração e direito	390	21	Educação a Distância	40	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	COORDENAÇÃO PEDAGÓGICA	Educação	405	16	Educação a Distância	400	Porto Alegre	RS	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ	Gestão Pública com habilitação em Logística	Negócios, administração e direito	420	24	Educação a Distância	1000	Curitiba	PR	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ	Gestão Pública com habilitação em Políticas Públicas	Negócios, administração e direito	420	24	Educação a Distância	1000	Curitiba	PR	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	DIREITO AMBIENTAL NACIONAL E INTERNACIONAL	Negócios, administração e direito	360	24	Educação Presencial	60	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE PELOTAS	Gestão Pública e Desenvolvimento Regional	Negócios, administração e direito	374	18	Educação Presencial	25	Pelotas	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Saúde Pública	Saúde e bem-estar	470	22	Educação Presencial	25	Cascavel	PR	SUL	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Aspectos Biodinâmicos do Movimento Humano	Saúde e bem-estar	360	16	Educação Presencial	60	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Atividade Física em Saúde e Reabilitação Cardíaca	Saúde e bem-estar	360	17	Educação Presencial	60	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Mídias na Educação	Educação	480	18	Educação a Distância	200	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Televisão, Cinema e Mídias Digitais	Negócios, administração e direito	384	15	Educação Presencial	40	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Segurança Pública e Cidadania	Negócios, administração e direito	435	19	Educação Presencial	44	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS	Banco de Dados	Computação e Tecnologias da Informação e Comunicação (TIC)	360	24	Educação Presencial	30	Belo Horizonte	MG	SUDESTE	Ativo	Pública Federal
Faculdade de Tecnologia de Taubaté	ANÁLISE E DESENVOLVIMENTO DE SISTEMAS	Computação e Tecnologias da Informação e Comunicação (TIC)	360	36	Educação Presencial	40	Taubaté	SP	SUDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE PELOTAS	Mídias na Educação	Educação	374	22	Educação a Distância	150	Pelotas	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MBA em Gestão de Marketing e Negócios	Negócios, administração e direito	380	18	Educação Presencial	40	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MBA em Gestão Estratégica de Pessoas	Negócios, administração e direito	380	18	Educação Presencial	40	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MBA em Logística Empresarial	Negócios, administração e direito	390	18	Educação Presencial	40	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	DENTÍSTICA	Saúde e bem-estar	690	23	Educação Presencial	12	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	DIREITO DO TRABALHO	Negócios, administração e direito	360	24	Educação Presencial	66	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Estudos Literários	Artes e humanidades	360	18	Educação Presencial	20	Cajazeiras	PB	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	DIREITO INTERNACIONAL PÚBLICO E PRIVADO E DIREITO INTEGRAÇÃO	Negócios, administração e direito	360	24	Educação Presencial	60	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	MBA em Gestão Estratégica1	Negócios, administração e direito	390	24	Educação Presencial	55	Cascavel	PR	SUL	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	MBA - Gestão de Pessoas1	Negócios, administração e direito	360	24	Educação Presencial	46	Francisco Beltrão	PR	SUL	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	GESTÃO DE ENERGIA	Engenharia, produção e construção	405	16	Educação Presencial	35	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Audiologia	Saúde e bem-estar	525	13	Educação Presencial	10	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	DIREITO PENAL E POLÍTICA CRIMINAL:	Negócios, administração e direito	360	24	Educação Presencial	66	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE MATO GROSSO	POLÍTICAS DE SEGURANÇA PÚBLICA E DIREITOS HUMANOS	Negócios, administração e direito	380	18	Educação Presencial	40	Cuiabá	MT	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Diagnóstico por Imagem em Cabeça e Pescoço	Saúde e bem-estar	360	12	Educação Presencial	2	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL FLUMINENSE	Gerontologia Social e Políticas Públicas	Artes e humanidades	420	18	Educação Presencial	30	Campos dos Goytacazes	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Ciências Penais	Negócios, administração e direito	360	14	Educação Presencial	44	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Gestão Pública Municipal	Negócios, administração e direito	540	18	Educação a Distância	150	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Dermatologia  Áreas Eletivas	Saúde e bem-estar	416	11	Educação Presencial	20	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Filosofia Política e do Direito	Negócios, administração e direito	360	18	Educação Presencial	37	Toledo	PR	SUL	Ativo	Pública Estadual
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA	Educação em Ciências	Educação	390	12	Educação Presencial	30	Uruguaiana	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Comunicação Empresarial	Negócios, administração e direito	420	17	Educação Presencial	60	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Desenvolvimento Humano:InterfacesPráticasEmEducaçãoeSaúde	Educação	368	12	Educação a Distância	200	Juiz de Fora	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Eletrofisiologia Visual Clínica	Saúde e bem-estar	575	12	Educação Presencial	2	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DO CEARÁ	Educação Inclusiva	Educação	480	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Psicopedagogia Clínica e Institucional	Educação	570	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Psicomotricidade Numa Abordagem Clínica e Institucional	Educação	510	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Educação Infantil	Educação	450	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Metodologia do Ensino de Artes	Educação	450	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Artes Marciais, Esportes de Combate e Lutas	Saúde e bem-estar	450	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	GESTÃO EMPRESARIAL	Negócios, administração e direito	360	22	Educação Presencial	35	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Dermatologia Avançada	Saúde e bem-estar	330	11	Educação Presencial	9	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Diagnóstico por Imagem do Abdôme	Saúde e bem-estar	360	12	Educação Presencial	4	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS	Saúde e bem-estar	720	24	Educação Presencial	6	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DO CEARÁ	Gestão Escolar	Educação	555	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE ESTADUAL DO CEARÁ	Enfermagem do Trabalho	Saúde e bem-estar	450	18	Educação Presencial	40	Fortaleza	CE	NORDESTE	Ativo	Pública Estadual
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA	Gestão Pública	Negócios, administração e direito	510	18	Educação a Distância	250	João Pessoa	PB	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO	Ciências Ambientais	Computação e Tecnologias da Informação e Comunicação (TIC)	400	12	Educação Presencial	35	Ituiutaba	MG	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Avançado em Ecocardiografia	Saúde e bem-estar	360	12	Educação Presencial	5	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Diagnóstico por Imagem em Neurologia	Saúde e bem-estar	360	12	Educação Presencial	6	São Paulo	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO PAULO	Diagnóstico por Imagem Músculo Esquelético	Saúde e bem-estar	360	12	Educação Presencial	4	São Paulo	SP	SUDESTE	Ativo	Pública Federal
